obs_id,pred
id_000001,602040
id_000002,616750
id_000003,602040
id_000004,581350
id_000005,611410
id_000006,611410
id_000007,597300
id_000008,584910
id_000009,630450
id_000010,645880
id_000011,630450
id_000012,412000
id_000013,410950
id_000014,450170
id_000015,412000
id_000016,412000
id_000017,402110
id_000018,440460
id_000019,463780
id_000020,438820
id_000021,438820
id_000022,418160
id_000023,424780
id_000024,555390
id_000025,518650
id_000026,511570
id_000027,486020
id_000028,412000
id_000029,370910
id_000030,423190
id_000031,463780
id_000032,402110
id_000033,431120
id_000034,412000
id_000035,438690
id_000036,630450
id_000037,471510
id_000038,584910
id_000039,599660
id_000040,592150
id_000041,471510
id_000042,460150
id_000043,438820
id_000044,471710
id_000045,448660
id_000046,463780
id_000047,438820
id_000048,440510
id_000049,546720
id_000050,636160
id_000051,532930
id_000052,546720
id_000053,555390
id_000054,548790
id_000055,532930
id_000056,494800
id_000057,524290
id_000058,555160
id_000059,745800
id_000060,574770
id_000061,566870
id_000062,474830
id_000063,527820
id_000064,525300
id_000065,532930
id_000066,570750
id_000067,440510
id_000068,636160
id_000069,555160
id_000070,558580
id_000071,559410
id_000072,516400
id_000073,735840
id_000074,602440
id_000075,581980
id_000076,615820
id_000077,702090
id_000078,683010
id_000079,566870
id_000080,525300
id_000081,440510
id_000082,559410
id_000083,701140
id_000084,581980
id_000085,601390
id_000086,626420
id_000087,601390
id_000088,540340
id_000089,645820
id_000090,594030
id_000091,492500
id_000092,524570
id_000093,518530
id_000094,647520
id_000095,684040
id_000096,681250
id_000097,680380
id_000098,594030
id_000099,645820
id_000100,641830
id_000101,713700
id_000102,647530
id_000103,684040
id_000104,701840
id_000105,806590
id_000106,440460
id_000107,741360
id_000108,741360
id_000109,735210
id_000110,731230
id_000111,731230
id_000112,623120
id_000113,707080
id_000114,734360
id_000115,704300
id_000116,735210
id_000117,704000
id_000118,679340
id_000119,628380
id_000120,614130
id_000121,686840
id_000122,656710
id_000123,656710
id_000124,632480
id_000125,629310
id_000126,647730
id_000127,641040
id_000128,641040
id_000129,641040
id_000130,686840
id_000131,686840
id_000132,618040
id_000133,618040
id_000134,618040
id_000135,618040
id_000136,686840
id_000137,605570
id_000138,637210
id_000139,656040
id_000140,588000
id_000141,588000
id_000142,584910
id_000143,616750
id_000144,586960
id_000145,643830
id_000146,619010
id_000147,650030
id_000148,714840
id_000149,735840
id_000150,650030
id_000151,650030
id_000152,581980
id_000153,538390
id_000154,641830
id_000155,594030
id_000156,524570
id_000157,773250
id_000158,638160
id_000159,641610
id_000160,618080
id_000161,572410
id_000162,570080
id_000163,534050
id_000164,582740
id_000165,582740
id_000166,582740
id_000167,499230
id_000168,515370
id_000169,584180
id_000170,437440
id_000171,439200
id_000172,416340
id_000173,416510
