obs_id,train_id,pred
id_000001,train,1155516.8876921835
id_000002,train,742073.1550152402
id_000003,train,730118.1361627949
id_000004,test,573702.7706270532
id_000005,train,523853.8152122422
id_000006,test,488903.2356435006
id_000007,test,502934.70886539255
id_000008,valid,518374.1036710755
id_000009,valid,442818.505495248
id_000010,train,526008.2506382933
id_000011,train,610208.3398261153
id_000012,train,450613.8776780426
id_000013,valid,404079.08455349586
id_000014,train,427236.9077907282
id_000015,valid,378431.41076779773
id_000016,train,438332.06806127966
id_000017,valid,378603.6523459261
id_000018,test,443130.62236240087
id_000019,train,353867.5869177127
id_000020,valid,300566.60453865863
id_000021,test,384840.10875185067
id_000022,train,412895.95699289883
id_000023,valid,445860.32911075564
id_000024,train,341551.73330420104
id_000025,train,395997.79042584804
id_000026,train,501757.88238614984
id_000027,train,548513.8228161465
id_000028,train,469075.75317991094
id_000029,test,563660.678093409
id_000030,train,575139.2992124436
id_000031,train,619011.412903349
id_000032,train,613270.0069904048
id_000033,train,755984.6370506953
id_000034,train,613626.54731391
id_000035,test,565219.9499056959
id_000036,valid,676445.5072016781
id_000037,valid,602822.7010271627
id_000038,train,1103677.806432473
id_000039,valid,868994.1506888934
id_000040,train,815132.5128758425
id_000041,test,1016676.6340170244
id_000042,valid,784509.9571006232
id_000043,valid,627761.3018427023
id_000044,train,617937.4666063089
id_000045,train,851783.4620974835
id_000046,valid,1201330.636723217
id_000047,train,589547.5636754499
id_000048,train,629115.8653474622
id_000049,valid,444089.3783428919
id_000050,valid,439159.07630319527
id_000051,train,414532.4340753302
id_000052,test,489164.3777426168
id_000053,train,498891.785911663
id_000054,train,473792.23223245575
id_000055,train,377934.9849177957
id_000056,train,374418.13754324324
id_000057,train,335376.18492937833
id_000058,train,432978.2213810487
id_000059,valid,397562.18470444693
id_000060,train,377818.6810414613
id_000061,test,359721.5056784001
id_000062,train,363473.9742557951
id_000063,train,429656.98438380746
id_000064,train,399140.708925794
id_000065,valid,407200.12313628505
id_000066,train,450606.530727669
id_000067,train,654923.0779405716
id_000068,valid,528239.6510503731
id_000069,train,653260.2382698721
id_000070,test,400834.84872817213
id_000071,train,358537.31209605164
id_000072,test,372369.05604117265
id_000073,train,424862.71367081127
id_000074,train,437757.062030035
id_000075,train,402175.2618307881
id_000076,test,331861.5884166246
id_000077,test,425327.7146057299
id_000078,train,529324.7162248481
